ProductName,price,vendor
SteelSeries Arctis 7 - Lossless Wireless Gaming Headset with DTS Headphone:X v2.0 Surround - For PC and PlayStation 4 - Black,,SteelSeries
Nintendo Joy-Con (L/R) - Neon Pink / Neon Green,72.00,Nintendo
Xbox Wireless Controller - Blue,41.57,Microsoft
Nintendo Joy-Con (L/R) - Neon Red/Neon Blue,60.99,Nintendo
Xbox Wireless Controller – Sport Blue Special Edition,55.18,Microsoft
Xbox Wireless Controller - Gears 5 Kait Diaz Limited Edition,63.82,Microsoft
Xbox Wireless Controller - Grey/Green,37.00,Microsoft
Nintendo Joy-Con (L/R) - Gray,58.98,Nintendo
DualShock 4 Wireless Controller for PlayStation 4 - Rose Gold,50,Playstation
Xbox Wireless Controller - White,,Microsoft
DualShock 4 Wireless Controller for PlayStation 4 - Electric Purple,63.83,Playstation
Xbox Wireless Controller - Phantom White Special Edition,49.99,Microsoft
Nintendo Blue/ Neon Yellow Joy-Con (L-R) - Switch,,Nintendo
PlayStation Gold Wireless Headset - PlayStation 4,75.99,Playstation
Nintendo Neon Purple/ Neon Orange Joy-Con (L-R) - Switch,,Nintendo
Xbox Wireless Controller – Night Ops Camo Special Edition,59.95,Microsoft
