ProductName,price,vendor
Nintendo Blue/ Neon Yellow Joy-Con (L-R) - Switch,,Nintendo
SteelSeries Arctis 7 - Lossless Wireless Gaming Headset with DTS Headphone:X v2.0 Surround - For PC and PlayStation 4 - Black,,SteelSeries
Xbox Wireless Controller – Night Ops Camo Special Edition,59.95,Microsoft
Microsoft Xbox Wireless Controller + Wireless Adapter for Windows 10,,Microsoft
Nintendo Joy-Con (L/R) - Gray,58.98,Nintendo
Xbox Wireless Controller - Gears 5 Kait Diaz Limited Edition,48.82,Microsoft
DualShock 4 Wireless Controller for PlayStation 4 - Rose Gold,50.76,Playstation
PlayStation Gold Wireless Headset - PlayStation 4,75.99,Playstation
Xbox Wireless Controller – Sport Blue Special Edition,69.18,Microsoft
Xbox Wireless Controller - Grey/Green,37.00,Microsoft
Nintendo Joy-Con (L/R) - Neon Red/Neon Blue,60.99,Nintendo
Xbox Wireless Controller - Phantom White Special Edition,49.99,Microsoft
Nintendo Neon Purple/ Neon Orange Joy-Con (L-R) - Switch,,Nintendo
Nintendo Joy-Con (L/R) - Neon Pink / Neon Green,72.00,Nintendo
Creative 70GH031000003 Sound BlasterX H5 Tournament Edition Gaming Headset,,Creative
Xbox Wireless Controller - White,,Microsoft
Hori Nintendo Switch Mario Kart Racing Wheel Pro Mini By - Officially Licensed By Nintendo - Nintendo Switch,69.39,Hori
Xbox Wireless Controller - Blue,41.57,Microsoft
PS4 Dualshock Playstation 4 Controller Custom Soft Touch New Model JDM-040 (Chameleon),,OC Gaming
Seagate Game Drive for Xbox 2TB External Hard Drive Portable HDD – Designed for Xbox One (STEA2000403),,Seagate
"SteelSeries Arctis 3 - All-Platform Gaming Headset - for PC, PlayStation 4, Xbox One, Nintendo Switch, VR, Android and iOS - White [2019 Edition]",,SteelSeries
"ASTRO Gaming A20 Wireless Headset, Black/Blue - PlayStation 4",99.96,ASTRO Gaming
ASTRO Gaming A40 TR Headset + MixAmp Pro TR for PlayStation 4 (2017 Model),145.99,ASTRO Gaming
DualShock 4 Wireless Controller for PlayStation 4 - Red Camo,64.07,Playstation
Sennheiser GAME ZERO Gaming Headset- Black,,Sennheiser Consumer Audio
DualShock 4 Wireless Controller for PlayStation 4 - Alpine Green [Discontinued],79.99,Playstation
"Seagate Game Drive for PS4 Systems 2TB External Hard Drive Portable HDD – USB 3.0, Officially Licensed Product (STGD2000100)",,Seagate
Xbox Wireless Controller - Fortnite Special Edition,,Microsoft
"Corsair Void Elite Surround Premium Gaming Headset with 7.1 Surround Sound, Carbon",,Corsair
DualShock 4 Wireless Controller for PlayStation 4 - Electric Purple,63.83,Playstation
"HyperX Cloud II Gaming Headset - 7.1 Surround Sound - Memory Foam Ear Pads - Durable Aluminum Frame - Multi Platform Headset - Works with PC, PS4, PS4 PRO, Xbox One, Xbox One S - Red (KHX-HSCP-RD)",,HyperX
PlayStation Platinum Wireless Headset - PlayStation 4,,Playstation
Chrome Blue Wireless Bluetooth Custom Controller for Xbox One,,Piranha Performance
Xbox One S Wireless Controller for Microsoft Xbox One - Soft Touch Green X1 - Added Grip for Long Gaming Sessions - Multiple Colors Available,,Crazy Controllerz
Xbox One S Wireless Bluetooth Controller For Microsoft Xbox One Custom Soft Touch Green,,Microsoft
HORI Nintendo Switch Fighting Stick Mini - Street Fighter II™ Edition (Chun-Li & Cammy) Officially Licensed by Nintendo & Capcom,59,Hori
"SteelSeries Arctis 7 61505 Lossless Wireless Gaming Headset with DTS H, (Renewed)",,Amazon Renewed
Xbox Wireless Controller - Patrol Tech Special Edition,,Microsoft
Qanba Drone Joystick for PlayStation 4 and PlayStation 3 and PC (Fighting Stick) Officially Licensed Sony Product,,Qanba
Nintendo Switch Mario Kart Racing Wheel Pro Deluxe By HORI - Officially Licensed By Nintendo,99,Hori
DualShock 4 Wireless Controller for PlayStation 4 - Wave Blue [Discontinued],38.39,Playstation
Nintendo 2DS - Legend of Zelda Ocarina of Time 3D,128.99,Nintendo
Mayflash F300 Arcade Fight Stick Joystick for PS4 PS3 XBOX ONE XBOX 360 PC Switch NeoGeo mini,,May Flash
"ASTRO Gaming A20 Wireless Headset, Black/Blue - PlayStation 4",99.96,ASTRO Gaming
Xbox One Stereo Headset Adapter,59.95,Microsoft
DualShock 4 Wireless Controller for Playstation 4 - Color Changing Chameleon PS4 - Custom Design for a Unique Look - Multiple Colors Available,,Crazy Controllerz
Xbox Wireless Controller - Playerunknown's Battlegrounds Limited Edition,,Microsoft
HORI Gaming Headset Pro - PlayStation 4,,Hori
Xbox Wireless Controller/ PC Computer - Minecraft Creeper Green Special Limited Edition,65.00,Microsoft
"PDP PS4 MARS Starter Pack - Voyage of the Dead, 051-103-NA",99,PDP
"Sony Sony ps4 dualshock 4 wireless controller for playstation 4 - crystal, 1.1 Ounce",,Sony
Xbox Wireless Controller - Ocean Shadow Special Edition,69.99,Microsoft
Microsoft Xbox Wireless Controller - Minecraft Creeper - Xbox One (Discontinued),79,Microsoft
Xbox One Wireless Controller and Play & Charge Kit,88.13,Microsoft
"Ps4 Elite Controller, 6 Axis Sensor Modded Custom programmable Dual Vibration Elite PS4/PS3 Wireless Game Controller Joystick with Back Paddles and L3 R3 Buttons for FPS Games",,Mayfan
Turtle Beach Stealth 300 Amplified Gaming Headset for PS4 and PS4 Pro - PlayStation 4 (Wired),62,Turtle Beach
